year,state,paid_holders,resident_licenses,nonresident_licenses,gross_cost,resident_cost,nonresident_cost,fips,pop,council_id,council_name
2023,Georgia,1083120.0,1406324.0,229682.0,16378050.0,13043936.0,3334114.0,13,,3,South Atlantic
2023,Guam,0.0,0.0,0.0,,,,66,,8,Western Pacific
2023,Hawaii,4386.0,4637.0,427.0,24677.0,18882.0,5795.0,15,,8,Western Pacific
2023,Idaho,563531.0,831644.0,287366.0,22375001.0,13148430.0,9226571.0,16,,0,No Council
2023,Illinois,701088.0,754972.0,51369.0,9685575.0,8431538.0,1254036.0,17,,0,No Council
2023,Indiana,607365.0,471343.0,64261.0,9030392.0,7469256.0,1561136.0,18,,0,No Council
2023,Iowa,401686.0,464172.0,63057.0,12806676.0,10832593.0,1974083.0,19,,0,No Council
2023,Kansas,318632.0,255423.0,47537.0,7783710.0,6254600.0,1529109.0,20,,0,No Council
2023,Kentucky,593612.0,553348.0,77907.0,12554687.0,9813549.0,2741138.0,21,,0,No Council
2023,Louisiana,775308.0,728509.0,246172.0,11686258.0,7080481.0,4605777.0,22,,4,Gulf of Mexico
2023,Maine,328989.0,182892.0,74218.0,8295352.0,5160800.0,3134552.0,23,,1,New England
2023,Maryland,322170.0,380932.0,94708.0,9421852.0,7018793.0,2403059.0,24,,2,Mid-Atlantic
2023,Massachusetts,281707.0,498233.0,54239.0,6386172.0,5604551.0,781621.0,25,,1,New England
2023,Michigan,1190933.0,998507.0,231969.0,31365241.0,22712217.0,8653024.0,26,,0,No Council
2023,Minnesota,1525029.0,1362407.0,354080.0,41161771.0,28303597.0,12858174.0,27,,0,No Council
2023,Mississippi,325350.0,332775.0,72148.0,6526617.0,4601742.0,1924876.0,28,,4,Gulf of Mexico
2023,Missouri,746389.0,1090040.0,156901.0,14066325.0,10001329.0,4064996.0,29,,0,No Council
2023,Montana,456764.0,796375.0,609794.0,21387642.0,7057122.0,14330520.0,30,,0,No Council
2023,Commonwealth of the Northern Mariana Islands,574.0,574.0,0.0,5877.0,5877.0,,69,,8,Western Pacific
2023,Nebraska,266741.0,379177.0,92305.0,8986518.0,7463073.0,1523445.0,31,,0,No Council
2023,Nevada,183421.0,149805.0,61014.0,6179965.0,4006890.0,2173075.0,32,,0,No Council
2023,New Hampshire,191034.0,160845.0,63314.0,8185744.0,5614049.0,2571695.0,33,,1,New England
2023,New Jersey,193618.0,272856.0,28443.0,5930499.0,5178582.0,751917.0,34,,2,Mid-Atlantic
2023,New Mexico,250954.0,552090.0,186468.0,8185946.0,5950785.0,2235161.0,35,,0,No Council
